ISO,scenario,d
USA,0,87405.0
AFG,0,609.0
ALB,0,60.0
DZA,0,1138.0
AGO,0,474.0
ARG,0,2203.0
ARM,0,66.0
AUS,0,8075.0
AUT,0,1492.0
AZE,0,223.0
BHS,0,57.0
BHR,0,227.0
BGD,0,1708.0
BRB,0,45.0
BLR,0,343.0
BEL,0,3353.0
BLZ,0,6.0
BEN,0,230.0
BTN,0,7.0
BOL,0,216.0
BIH,0,90.0
BWA,0,47.0
BRA,0,5242.0
BRN,0,76.0
BGR,0,989.0
BFA,0,219.0
BDI,0,245.0
CPV,0,16.0
KHM,0,450.0
CMR,0,500.0
CAN,0,8818.0
CAF,0,66.0
TCD,0,328.0
CHL,0,672.0
CHN,0,36155.0
COL,0,1773.0
COM,0,11.0
COD,0,712.0
COG,0,237.0
CRI,0,226.0
CIV,0,510.0
HRV,0,815.0
CUB,0,302.0
CYP,0,285.0
CZE,0,1999.0
DNK,0,1438.0
DJI,0,22.0
DOM,0,270.0
ECU,0,708.0
EGY,0,4171.0
SLV,0,160.0
GNQ,0,26.0
ERI,0,81.0
EST,0,293.0
SWZ,0,14.0
ETH,0,3295.0
FJI,0,18.0
FIN,0,1087.0
FRA,0,17071.0
GUF,0,9.0
PYF,0,40.0
GAB,0,38.0
GEO,0,475.0
DEU,0,17015.0
GHA,0,488.0
GRC,0,2213.0
GUM,0,16.0
GTM,0,412.0
GIN,0,114.0
GNB,0,24.0
GUY,0,16.0
HTI,0,215.0
HND,0,459.0
HUN,0,1987.0
ISL,0,57.0
IND,0,30239.0
IDN,0,7336.0
IRN,0,2729.0
IRQ,0,1991.0
IRL,0,1126.0
ISR,0,2408.0
ITA,0,15150.0
JAM,0,75.0
JPN,0,21602.0
JOR,0,431.0
KAZ,0,1329.0
KEN,0,1643.0
PRK,0,434.0
KOR,0,7830.0
KWT,0,691.0
KGZ,0,84.0
LAO,0,146.0
LVA,0,313.0
LBN,0,331.0
LSO,0,17.0
LBR,0,78.0
LBY,0,195.0
LTU,0,541.0
LUX,0,107.0
MDG,0,690.0
MWI,0,377.0
MYS,0,4128.0
MDV,0,15.0
MLI,0,187.0
MLT,0,92.0
MRT,0,45.0
MUS,0,167.0
MEX,0,3631.0
MNG,0,34.0
MNE,0,147.0
MAR,0,919.0
MOZ,0,474.0
MMR,0,1069.0
NAM,0,58.0
NPL,0,368.0
NZL,0,1020.0
NIC,0,214.0
NER,0,260.0
NGA,0,5421.0
MKD,0,57.0
NOR,0,1444.0
OMN,0,775.0
PAK,0,4255.0
PAN,0,97.0
PNG,0,271.0
PRY,0,197.0
PER,0,1219.0
PHL,0,3158.0
POL,0,6515.0
PRT,0,2356.0
QAT,0,403.0
MDA,0,126.0
ROU,0,2292.0
RUS,0,5117.0
RWA,0,198.0
LCA,0,6.0
WSM,0,7.0
STP,0,1.0
SAU,0,1247.0
SEN,0,161.0
SRB,0,364.0
SLE,0,91.0
SGP,0,1248.0
SVK,0,1206.0
SVN,0,497.0
SLB,0,11.0
SOM,0,397.0
ZAF,0,1403.0
SSD,0,146.0
ESP,0,9800.0
LKA,0,372.0
SDN,0,1097.0
SUR,0,17.0
SWE,0,2002.0
CHE,0,1683.0
SYR,0,484.0
TJK,0,78.0
TZA,0,994.0
THA,0,1988.0
NLD,0,4043.0
GMB,0,23.0
TLS,0,22.0
TGO,0,149.0
TTO,0,56.0
TUN,0,370.0
TUR,0,13727.0
TKM,0,86.0
UGA,0,1369.0
UKR,0,1463.0
ARE,0,1324.0
GBR,0,19095.0
URY,0,142.0
UZB,0,507.0
VUT,0,7.0
VEN,0,570.0
VNM,0,2875.0
YEM,0,924.0
ZMB,0,229.0
ZWE,0,526.0
USA,1,90675.0
AFG,1,593.0
ALB,1,76.0
DZA,1,1146.0
AGO,1,331.0
ARG,1,1190.0
ARM,1,61.0
AUS,1,5886.0
AUT,1,1693.0
AZE,1,187.0
BHS,1,50.0
BHR,1,235.0
BGD,1,1836.0
BRB,1,41.0
BLR,1,271.0
BEL,1,3452.0
BLZ,1,5.0
BEN,1,182.0
BTN,1,6.0
BOL,1,294.0
BIH,1,99.0
BWA,1,38.0
BRA,1,5570.0
BRN,1,86.0
BGR,1,856.0
BFA,1,256.0
BDI,1,276.0
CPV,1,18.0
KHM,1,390.0
CMR,1,619.0
CAN,1,9344.0
CAF,1,79.0
TCD,1,368.0
CHL,1,523.0
CHN,1,28776.0
COL,1,1779.0
COM,1,12.0
COD,1,1450.0
COG,1,220.0
CRI,1,206.0
CIV,1,512.0
HRV,1,765.0
CUB,1,332.0
CYP,1,307.0
CZE,1,1977.0
DNK,1,1343.0
DJI,1,19.0
DOM,1,308.0
ECU,1,680.0
EGY,1,4365.0
SLV,1,167.0
GNQ,1,24.0
ERI,1,85.0
EST,1,268.0
SWZ,1,14.0
ETH,1,2467.0
FJI,1,26.0
FIN,1,1103.0
FRA,1,14658.0
GUF,1,10.0
PYF,1,45.0
GAB,1,38.0
GEO,1,493.0
DEU,1,15718.0
GHA,1,627.0
GRC,1,1697.0
GUM,1,17.0
GTM,1,299.0
GIN,1,142.0
GNB,1,18.0
GUY,1,18.0
HTI,1,185.0
HND,1,302.0
HUN,1,2062.0
ISL,1,63.0
IND,1,27159.0
IDN,1,6338.0
IRN,1,3132.0
IRQ,1,1660.0
IRL,1,1238.0
ISR,1,2030.0
ITA,1,13919.0
JAM,1,90.0
JPN,1,20095.0
JOR,1,394.0
KAZ,1,1578.0
KEN,1,1597.0
PRK,1,467.0
KOR,1,6817.0
KWT,1,609.0
KGZ,1,118.0
LAO,1,166.0
LVA,1,367.0
LBN,1,238.0
LSO,1,17.0
LBR,1,74.0
LBY,1,250.0
LTU,1,571.0
LUX,1,141.0
MDG,1,700.0
