ISO,quality,scenario,gamma_p
DZA,1.0,0,1.0
DZA,2.0,0,1.0
DZA,3.0,0,0.95
AGO,1.0,0,0.9
AGO,2.0,0,0.95
AGO,3.0,0,1.0
EGY,1.0,0,0.95
EGY,2.0,0,0.9
EGY,3.0,0,1.0
GHA,1.0,0,1.0
GHA,2.0,0,1.0
GHA,3.0,0,0.95
KEN,1.0,0,1.0
KEN,2.0,0,1.0
KEN,3.0,0,1.0
MDG,1.0,0,1.0
MDG,2.0,0,0.95
MDG,3.0,0,0.95
MRT,1.0,0,0.95
MRT,2.0,0,0.95
MRT,3.0,0,1.0
MAR,1.0,0,0.95
MAR,2.0,0,0.95
MAR,3.0,0,0.95
NGA,1.0,0,0.9
NGA,2.0,0,1.0
NGA,3.0,0,1.0
ZAF,1.0,0,0.95
ZAF,2.0,0,0.95
ZAF,3.0,0,1.0
SDN,1.0,0,1.0
SDN,2.0,0,0.95
SDN,3.0,0,0.85
TUN,1.0,0,1.0
TUN,2.0,0,1.0
TUN,3.0,0,1.0
ZWE,1.0,0,1.0
ZWE,2.0,0,1.0
ZWE,3.0,0,0.95
CHN,1.0,0,1.0
CHN,2.0,0,1.0
CHN,3.0,0,1.0
IND,1.0,0,0.85
IND,2.0,0,0.9
IND,3.0,0,1.0
IDN,1.0,0,1.0
IDN,2.0,0,0.85
IDN,3.0,0,1.0
JPN,1.0,0,1.0
JPN,2.0,0,0.95
JPN,3.0,0,1.0
KOR,1.0,0,1.0
KOR,2.0,0,1.0
KOR,3.0,0,1.0
MYS,1.0,0,0.9
MYS,2.0,0,1.0
MYS,3.0,0,0.85
MMR,1.0,0,1.0
MMR,2.0,0,0.85
MMR,3.0,0,1.0
PAK,1.0,0,0.95
PAK,2.0,0,1.0
PAK,3.0,0,1.0
PHL,1.0,0,1.0
PHL,2.0,0,1.0
PHL,3.0,0,1.0
LKA,1.0,0,0.9
LKA,2.0,0,1.0
LKA,3.0,0,1.0
THA,1.0,0,1.0
THA,2.0,0,0.9
THA,3.0,0,1.0
VNM,1.0,0,1.0
VNM,2.0,0,0.9
VNM,3.0,0,1.0
AUT,1.0,0,0.9
AUT,2.0,0,1.0
AUT,3.0,0,1.0
BEL,1.0,0,1.0
BEL,2.0,0,0.95
BEL,3.0,0,1.0
FRA,1.0,0,1.0
FRA,2.0,0,0.95
FRA,3.0,0,1.0
DEU,1.0,0,1.0
DEU,2.0,0,1.0
DEU,3.0,0,1.0
GRC,1.0,0,1.0
GRC,2.0,0,1.0
GRC,3.0,0,1.0
IRL,1.0,0,1.0
IRL,2.0,0,0.95
IRL,3.0,0,1.0
ITA,1.0,0,0.95
ITA,2.0,0,1.0
ITA,3.0,0,1.0
PRT,1.0,0,0.95
PRT,2.0,0,1.0
PRT,3.0,0,1.0
RUS,1.0,0,0.9
RUS,2.0,0,1.0
